[DEBUG] start_sample=48683712000, end_sample=48798912000, data_sample_num=48384088368, len(data)=1382404464
[DEBUG] wav_idx=72, len(wav_list)=576, start_time=2024-09-16 00:46:04, last_processed_wav_index=0
[DEBUG] start_sample=50297088000, end_sample=50412288000, data_sample_num=49766492832, len(data)=1382401616
[DEBUG] wav_idx=73, len(wav_list)=576, start_time=2024-09-16 01:42:26, last_processed_wav_index=72
[DEBUG] start_sample=50946432000, end_sample=51061632000, data_sample_num=50457694480, len(data)=1382403088
[DEBUG] wav_idx=73, len(wav_list)=576, start_time=2024-09-16 01:54:34, last_processed_wav_index=73
[DEBUG] wav_idx=74, len(wav_list)=576, start_time=2024-09-16 02:37:18, last_processed_wav_index=73
[DEBUG] start_sample=51578496000, end_sample=51693696000, data_sample_num=51148894448, len(data)=1382403568
[DEBUG] wav_idx=75, len(wav_list)=576, start_time=2024-09-16 03:31:21, last_processed_wav_index=74
[DEBUG] start_sample=52201152000, end_sample=52316352000, data_sample_num=51840097568, len(data)=1382402720
[DEBUG] wav_idx=77, len(wav_list)=576, start_time=2024-09-16 05:40:38, last_processed_wav_index=75
[DEBUG] start_sample=53690496000, end_sample=53805696000, data_sample_num=53222500288, len(data)=1382403248
[DEBUG] wav_idx=78, len(wav_list)=576, start_time=2024-09-16 06:04:06, last_processed_wav_index=0
[DEBUG] start_sample=53960832000, end_sample=54076032000, data_sample_num=53913700640, len(data)=1382402208
[DEBUG] wav_idx=79, len(wav_list)=576, start_time=2024-09-16 07:04:14, last_processed_wav_index=78
[DEBUG] start_sample=54653568000, end_sample=54768768000, data_sample_num=54604903536, len(data)=1382401408
[DEBUG] wav_idx=81, len(wav_list)=576, start_time=2024-09-16 09:05:16, last_processed_wav_index=79
[DEBUG] start_sample=56047872000, end_sample=56163072000, data_sample_num=55987304944, len(data)=1382403392
[DEBUG] wav_idx=81, len(wav_list)=576, start_time=2024-09-16 09:53:50, last_processed_wav_index=81
[DEBUG] wav_idx=84, len(wav_list)=576, start_time=2024-09-16 12:04:15, last_processed_wav_index=0
[DEBUG] start_sample=58109760000, end_sample=58224960000, data_sample_num=58060911104, len(data)=1382403968
[DEBUG] wav_idx=84, len(wav_list)=576, start_time=2024-09-16 12:19:10, last_processed_wav_index=84
[DEBUG] wav_idx=84, len(wav_list)=576, start_time=2024-09-16 12:19:56, last_processed_wav_index=84
[DEBUG] wav_idx=84, len(wav_list)=576, start_time=2024-09-16 12:37:20, last_processed_wav_index=84
[DEBUG] wav_idx=85, len(wav_list)=576, start_time=2024-09-16 13:49:57, last_processed_wav_index=84
